"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","18-Mar-2020","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","12.5","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","17-Jul-2019","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","13.75","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","17-Jul-2019","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","11.75","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","17-Jul-2019","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","13.25","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","21-May-2019","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","12.75","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","21-May-2019","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","10.75","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","21-May-2019","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","12.25","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","01-Apr-2019","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","11.25","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","01-Apr-2019","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","9.25","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","01-Apr-2019","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","10.75","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","01-Feb-2019","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","10.75","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","01-Feb-2019","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","8.75","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","01-Feb-2019","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","10.25","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","03-Dec-2018","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","10.5","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","03-Dec-2018","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","8.5","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","03-Dec-2018","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","10","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","01-Oct-2018","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","9","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","01-Oct-2018","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","7","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","01-Oct-2018","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","8.5","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","16-Jul-2018","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","8","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","16-Jul-2018","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","6","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","16-Jul-2018","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","7.5","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","28-May-2018","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","7","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","28-May-2018","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","5","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","28-May-2018","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","6.5","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","29-Jan-2018","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","6.5","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","29-Jan-2018","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","4.5","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","29-Jan-2018","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","6","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","23-May-2016","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","6.25","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","23-May-2016","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","4.25","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","23-May-2016","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","5.75","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","14-Sep-2015","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","6.5","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","14-Sep-2015","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","4.5","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
