"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Gold and Foreign Exchange Reserves of Pakistan","31-May-2022","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","2089","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","30-Apr-2022","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","16406","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Apr-2022","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","10499","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","30-Apr-2022","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","5907","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","30-Apr-2022","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","17497","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Apr-2022","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3973","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Apr-2022","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","10752","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","30-Apr-2022","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","2772","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Mar-2022","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","17426","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Mar-2022","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","11425","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Mar-2022","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","6001","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Mar-2022","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","18621","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Mar-2022","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","4037","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Mar-2022","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","11644","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Mar-2022","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","2940","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2022","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","22638","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2022","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","16386","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2022","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","6252","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","28-Feb-2022","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","23634","Million USD","Normal","","40","Total Reserves"
