s1,s2,s3,s4,date,value
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-06-26,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-06-26,18409.93894
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-06-26,-1101710.898
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-06-19,2601851.25
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-06-19,13967.65263
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-06-19,7064194.024
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-06-19,692616.5756
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-06-19,601618.3628
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-06-19,655762.8845
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-06-19,103185.6985
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-06-19,6436261.678
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-06-19,567620.1927
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-06-19,-9504.376461
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-06-19,3917067.714
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-06-19,446770.422
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-06-19,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-06-19,18426.00694
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-06-19,-1137267.697
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-06-12,2591467.247
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-06-12,14235.9186
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-06-12,7045392.637
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-06-12,710504.0294
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-06-12,601618.3628
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-06-12,654739.1054
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-06-12,93353.05749
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-06-12,6436639.679
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-06-12,566486.7713
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-06-12,-9479.614201
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-06-12,3910726.252
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-06-12,441462.769
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-06-12,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-06-12,18427.18694
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-06-12,-1125062.357
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-06-05,2561962.088
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-06-05,14375.38921
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-06-05,7005666.38
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-06-05,713436.0148
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-06-05,601618.3628
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-06-05,660591.8943
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-06-05,100097.6675
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-06-05,6325758.843
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-06-05,578769.3875
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-06-05,-9467.40512
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-06-05,3925572.524
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-06-05,439876.655
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-06-05,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-06-05,18458.53894
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-06-05,-1118525.214
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-05-29,2489368.05
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-05-29,14234.86111
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-05-29,7033402.939
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-05-29,709748.2786
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-05-29,601618.3628
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-05-29,683300.5012
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-05-29,86408.82749
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-05-29,6215349.121
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-05-29,573401.9496
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-05-29,-9465.879302
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-05-29,3961077.328
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-05-29,446696.59
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-05-29,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-05-29,18433.53694
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-05-29,-1102754.828
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-05-22,2513825.873
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-05-22,14228.58388
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-05-22,6901800.007
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-05-22,722682.0223
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-05-22,604968.3554
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-05-22,713856.1779
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-05-22,86953.94633
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-05-22,6137428.577
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-05-22,563622.5266
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-05-22,-9446.054427
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-05-22,3939014.893
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-05-22,446919.514
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-05-22,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-05-22,18539.60194
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-05-22,-1115309.685
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-05-15,2525413.354
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-05-15,14197.13856
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-05-15,6914788.002
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-05-15,723934.893
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-05-15,604968.3554
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-05-15,725093.6269
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-05-15,98104.33883
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-05-15,6160140.984
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-05-15,515154.2951
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-05-15,-10454.41448
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-05-15,3947633.777
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-05-15,445539.293
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-05-15,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-05-15,18586.58905
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-05-15,-1092422.091
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-05-08,2506778.852
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-05-08,14202.63176
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-05-08,6814427.079
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-05-08,716162.6799
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-05-08,604968.3554
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-05-08,728587.0441
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-05-08,86790.13833
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-05-08,6103368.508
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-05-08,471678.2351
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-05-08,-10446.78145
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-05-08,3950468.398
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-05-08,440869.609
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-05-08,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-05-08,18604.51872
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-05-08,-1109305.417
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-05-01,2426156.514
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-05-01,14199.1033
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-05-01,6856650.562
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-05-01,711814.7487
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-05-01,604968.3554
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-05-01,728285.128
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-05-01,86690.31433
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-05-01,6128347.749
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-05-01,443343.0438
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-05-01,-10486.83333
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-05-01,3991599.558
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-05-01,429377.366
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-05-01,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-05-01,18396.06072
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-05-01,-1177688.448
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-04-24,2449972.113
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-04-24,14185.33172
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-04-24,6710570.456
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-04-24,714902.4947
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-04-24,604968.3554
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-04-24,740883.7211
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-04-24,66188.29533
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-04-24,6061667.357
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-04-24,432564.1465
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-04-24,-10287.99329
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-04-24,3983983.392
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-04-24,424139.345
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-04-24,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-04-24,18399.37372
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-04-24,-1198864.233
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-04-17,2486007.467
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-04-17,11702.21877
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-04-17,6695977.652
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-04-17,709347.7724
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-04-17,602962.7922
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-04-17,714893.2714
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-04-17,85302.17223
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-04-17,6073009.417
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-04-17,433118.3954
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-04-17,-10293.2249
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-04-17,3963778.545
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-04-17,433295.271
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-04-17,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-04-17,18382.63372
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-04-17,-1181413.925
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-04-10,2502223.339
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-04-10,11651.19901
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-04-10,6735091.538
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-04-10,707465.1744
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-04-10,602962.7922
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-04-10,656065.7266
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-04-10,85283.40323
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-04-10,6100235.427
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-04-10,430824.5807
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-04-10,-10287.97143
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-04-10,3971844.233
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-04-10,430324.053
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-04-10,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-04-10,18375.90672
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-04-10,-1099196.661
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-04-03,2455840.221
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-04-03,11658.03722
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-04-03,6716648.615
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-04-03,701190.4604
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-04-03,602962.7922
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-04-03,641796.7177
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-04-03,94966.55123
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-04-03,6061668.93
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-04-03,430103.0766
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-04-03,-10307.38041
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-04-03,3969287.374
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-04-03,429140.184
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-04-03,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-04-03,18373.30872
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-04-03,-1122653.98
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-03-27,2431212.536
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-03-27,11599.88366
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-03-27,6716756.19
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-03-27,697220.6644
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-03-27,602962.7922
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-03-27,636525.3064
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-03-27,87662.59323
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-03-27,6062467.983
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-03-27,438026.4064
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-03-27,-10217.22562
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-03-27,3969571.9
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-03-27,425532.236
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-03-27,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-03-27,18396.90772
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-03-27,-1144139.386
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-03-20,2461344.144
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-03-20,11602.40227
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-03-20,6650201.741
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-03-20,703212.0844
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-03-20,611008.6914
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-03-20,635271.186
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-03-20,94517.205790000007
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-03-20,6053531.157
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-03-20,435708.0849
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-03-20,-10510.85314
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-03-20,3983173.41
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-03-20,428954.719
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-03-20,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-03-20,18397.38672
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-03-20,-1177598.577
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-03-13,2491743.934
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-03-13,11629.74406
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-03-13,6622843.745
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-03-13,702483.7594
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-03-13,611008.6914
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-03-13,648705.0099
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-03-13,90052.40479
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-03-13,6076998.981
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-03-13,435166.3629
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-03-13,-10512.36612
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-03-13,3956652.909
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-03-13,427667.822
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-03-13,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-03-13,18472.84972
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-03-13,-1179419.444
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-03-06,2483207.057
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-03-06,11663.87755
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-03-06,6598669.155
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-03-06,700541.5604
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-03-06,611008.6914
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-03-06,653536.334
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-03-06,93238.86379
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-03-06,6054301.422
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-03-06,436950.3429
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-03-06,-10510.03557
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-03-06,3952994.892
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-03-06,432363.838
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-03-06,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-03-06,18490.50172
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2015-03-06,-1202201.163
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2015-02-27,2404754.968
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2015-02-27,11655.84198
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2015-02-27,6628104.066
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2015-02-27,695123.1954
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2015-02-27,611008.6914
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2015-02-27,646411.7169
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2015-02-27,93168.42279
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2015-02-27,5974692.706
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2015-02-27,439616.2399
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2015-02-27,-10503.71008
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2015-02-27,3964334.273
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2015-02-27,427369.54
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2015-02-27,-24074.6603
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2015-02-27,18505.07972
