s1,s2,s3,s4,date,value
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-02-24,17213339.94
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-02-24,1205821.104
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-02-24,1347158.072
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-02-24,-2219058.508
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-02-24,-517599.7013
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-02-24,20326533.55
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-02-24,1122354.978
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-02-24,-19780.7293
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-02-24,9266395.108
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-02-24,1530733.88
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-02-24,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-02-24,662976.5255
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-02-24,-2210019.558
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-02-17,8121588.899
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-02-17,92287.84213
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-02-17,16984514.03
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-02-17,1282219.332
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-02-17,1422190.395
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-02-17,-2388021.324
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-02-17,-506046.7329
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-02-17,20350211.62
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-02-17,1111845.917
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-02-17,-19898.46982
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-02-17,9423953.012
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-02-17,1484514.854
