series_name,date,trade_type,value,series_name2
"Animal or Vegetable Fats, Oils and Waxes",2022-09-30,exports,7240.751,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-09-30,exports,97041.75,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2022-09-30,exports,52608.645,Mineral Products
Products of Chemical or Allied Industries,2022-09-30,exports,45425.71,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-09-30,exports,66071.549,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-09-30,exports,91298.446,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2022-09-30,exports,3697.444,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-09-30,exports,8312.731,Other
Textiles and Textile articles,2022-09-30,exports,1614310.772,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-09-30,exports,14475.078,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-09-30,exports,5768.462,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-09-30,exports,2208.129,Other
Base Metals and articles or Base Metal,2022-09-30,exports,93661.005,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-09-30,exports,17567.726,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-09-30,exports,6079.593,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-09-30,exports,41765.955,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-09-30,exports,4895.805,Other
Miscellaneous Manufactured articles,2022-09-30,exports,50239.038,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-09-30,exports,11969.589,Other
Live Animals and Animals Products,2022-08-31,exports,64158.843,Live Animals and Animals Products
Vegetable Products,2022-08-31,exports,314451.428,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-08-31,exports,10273.953,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-08-31,exports,120175.858,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2022-08-31,exports,62770.696,Mineral Products
Products of Chemical or Allied Industries,2022-08-31,exports,42367.293,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-08-31,exports,44375.027,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-08-31,exports,86066.046,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2022-08-31,exports,3555.13,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-08-31,exports,12404.455,Other
Textiles and Textile articles,2022-08-31,exports,1714132.621,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-08-31,exports,14043.564,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-08-31,exports,5240.614,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-08-31,exports,2589.813,Other
Base Metals and articles or Base Metal,2022-08-31,exports,81603.991,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-08-31,exports,22850.161,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-08-31,exports,5559.466,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-08-31,exports,40577.949,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-08-31,exports,30151.215,Other
Miscellaneous Manufactured articles,2022-08-31,exports,53352.285,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-08-31,exports,1179.532,Other
Live Animals and Animals Products,2022-07-31,exports,62766.032,Live Animals and Animals Products
Vegetable Products,2022-07-31,exports,290137.22,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-07-31,exports,5851.64,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-07-31,exports,95557.733,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2022-07-31,exports,66120.514,Mineral Products
Products of Chemical or Allied Industries,2022-07-31,exports,40682.269,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-07-31,exports,33949.732,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-07-31,exports,74935.069,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2022-07-31,exports,2784.189,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-07-31,exports,5879.073,Other
Textiles and Textile articles,2022-07-31,exports,1448781.903,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-07-31,exports,14842.851,Other
