Month,Price,Change,type,0
Feb 2017,106.52,0.28%,Food And Beverage Price Index,
Mar 2017,103.07,-3.24%,Food And Beverage Price Index,
Apr 2017,102.28,-0.77%,Food And Beverage Price Index,
May 2017,104.35,2.02%,Food And Beverage Price Index,
Jun 2017,103.72,-0.60%,Food And Beverage Price Index,
Jul 2017,106.04,2.24%,Food And Beverage Price Index,
Aug 2017,101.61,-4.18%,Food And Beverage Price Index,
Sep 2017,100.28,-1.31%,Food And Beverage Price Index,
Oct 2017,101.03,0.75%,Food And Beverage Price Index,
Nov 2017,101.41,0.38%,Food And Beverage Price Index,
Dec 2017,101.08,-0.33%,Food And Beverage Price Index,
Jan 2018,104.43,3.31%,Food And Beverage Price Index,
Feb 2018,104.66,0.22%,Food And Beverage Price Index,
Mar 2018,105.77,1.06%,Food And Beverage Price Index,
Apr 2018,105.64,-0.12%,Food And Beverage Price Index,
May 2018,107.16,1.44%,Food And Beverage Price Index,
Jun 2018,102.91,-3.97%,Food And Beverage Price Index,
Jul 2018,100.19,-2.64%,Food And Beverage Price Index,
Aug 2018,96.18,-4.00%,Food And Beverage Price Index,
Sep 2018,97.25,1.11%,Food And Beverage Price Index,
Oct 2018,99.31,2.12%,Food And Beverage Price Index,
Nov 2018,95.1,-4.24%,Food And Beverage Price Index,
Dec 2018,97.4,2.42%,Food And Beverage Price Index,
Jan 2019,99.12,1.77%,Food And Beverage Price Index,
Feb 2019,97.62,-1.51%,Food And Beverage Price Index,
Mar 2019,96.78,-0.86%,Food And Beverage Price Index,
Apr 2019,100.0,3.33%,Food And Beverage Price Index,
May 2019,96.78,-3.22%,Food And Beverage Price Index,
Jun 2019,98.98,2.27%,Food And Beverage Price Index,
Jul 2019,99.06,0.08%,Food And Beverage Price Index,
Aug 2019,96.93,-2.15%,Food And Beverage Price Index,
Sep 2019,95.08,-1.91%,Food And Beverage Price Index,
Oct 2019,95.42,0.36%,Food And Beverage Price Index,
Nov 2019,99.41,4.18%,Food And Beverage Price Index,
Dec 2019,103.04,3.65%,Food And Beverage Price Index,
Jan 2020,104.27,1.19%,Food And Beverage Price Index,
Feb 2020,100.16,-3.94%,Food And Beverage Price Index,
Mar 2020,96.6,-3.55%,Food And Beverage Price Index,
Apr 2020,92.32,-4.43%,Food And Beverage Price Index,
May 2020,95.41,3.35%,Food And Beverage Price Index,
Jun 2020,98.23,2.96%,Food And Beverage Price Index,
Jul 2020,95.76,-2.51%,Food And Beverage Price Index,
Aug 2020,97.61,1.93%,Food And Beverage Price Index,
Sep 2020,99.57,2.01%,Food And Beverage Price Index,
Oct 2020,103.84,4.29%,Food And Beverage Price Index,
Nov 2020,106.3,2.37%,Food And Beverage Price Index,
Dec 2020,107.59,1.21%,Food And Beverage Price Index,
Jan 2021,114.11,6.06%,Food And Beverage Price Index,
Feb 2021,117.12,2.64%,Food And Beverage Price Index,
Mar 2021,119.74,2.24%,Food And Beverage Price Index,
Apr 2021,126.55,5.69%,Food And Beverage Price Index,
May 2021,132.08,4.37%,Food And Beverage Price Index,
Jun 2021,125.28,-5.15%,Food And Beverage Price Index,
Jul 2021,126.91,1.30%,Food And Beverage Price Index,
Aug 2021,129.6,2.12%,Food And Beverage Price Index,
Sep 2021,126.05,-2.74%,Food And Beverage Price Index,
Oct 2021,127.25,0.95%,Food And Beverage Price Index,
Nov 2021,129.13,1.48%,Food And Beverage Price Index,
Dec 2021,132.78,2.83%,Food And Beverage Price Index,
Jan 2022,140.55,5.85%,Food And Beverage Price Index,
Feb 2022,147.08,4.65%,Food And Beverage Price Index,
Mar 2022,157.73,7.24%,Food And Beverage Price Index,
Apr 2022,162.22,2.85%,Food And Beverage Price Index,
May 2022,159.07,-1.94%,Food And Beverage Price Index,
Jun 2022,153.35,-3.60%,Food And Beverage Price Index,
Jul 2022,141.96,-7.43%,Food And Beverage Price Index,
Aug 2022,138.75,-2.26%,Food And Beverage Price Index,
Sep 2022,134.36,-3.16%,Food And Beverage Price Index,
Oct 2022,136.35,1.48%,Food And Beverage Price Index,
Nov 2022,135.77,-0.43%,Food And Beverage Price Index,
Dec 2022,134.04,-1.27%,Food And Beverage Price Index,
Jan 2023,135.91,1.40%,Food And Beverage Price Index,
Feb 2023,140.43,3.33%,Food And Beverage Price Index,
Mar 2023,144.03,2.56%,Food And Beverage Price Index,
Apr 2023,146.06,1.41%,Food And Beverage Price Index,
Apr 1993,53.76,-,Food Price Index,
May 1993,53.04,-1.35%,Food Price Index,
Jun 1993,51.26,-3.35%,Food Price Index,
Jul 1993,54.05,5.45%,Food Price Index,
Aug 1993,53.47,-1.07%,Food Price Index,
Sep 1993,53.54,0.13%,Food Price Index,
Oct 1993,54.14,1.11%,Food Price Index,
Nov 1993,56.65,4.65%,Food Price Index,
Dec 1993,58.59,3.42%,Food Price Index,
Jan 1994,59.93,2.29%,Food Price Index,
Feb 1994,59.73,-0.33%,Food Price Index,
Mar 1994,58.36,-2.29%,Food Price Index,
Apr 1994,57.21,-1.98%,Food Price Index,
May 1994,56.62,-1.02%,Food Price Index,
Jun 1994,56.25,-0.66%,Food Price Index,
Jul 1994,55.55,-1.24%,Food Price Index,
Aug 1994,57.06,2.72%,Food Price Index,
Sep 1994,58.96,3.32%,Food Price Index,
Oct 1994,57.61,-2.29%,Food Price Index,
Nov 1994,59.15,2.68%,Food Price Index,
Dec 1994,61.21,3.47%,Food Price Index,
Jan 1995,59.86,-2.19%,Food Price Index,
Feb 1995,61.23,2.29%,Food Price Index,
Mar 1995,60.61,-1.02%,Food Price Index,
Apr 1995,59.39,-2.01%,Food Price Index,
May 1995,59.57,0.30%,Food Price Index,
Jun 1995,61.79,3.73%,Food Price Index,
Jul 1995,65.26,5.61%,Food Price Index,
Aug 1995,63.81,-2.22%,Food Price Index,
Sep 1995,64.4,0.92%,Food Price Index,
Oct 1995,66.3,2.95%,Food Price Index,
Nov 1995,66.7,0.61%,Food Price Index,
Dec 1995,67.01,0.46%,Food Price Index,
Jan 1996,67.39,0.57%,Food Price Index,
Feb 1996,68.66,1.88%,Food Price Index,
Mar 1996,68.65,-0.01%,Food Price Index,
Apr 1996,72.23,5.22%,Food Price Index,
May 1996,73.07,1.16%,Food Price Index,
Jun 1996,70.95,-2.90%,Food Price Index,
Jul 1996,69.96,-1.40%,Food Price Index,
Aug 1996,68.96,-1.43%,Food Price Index,
Sep 1996,66.54,-3.51%,Food Price Index,
Oct 1996,63.12,-5.13%,Food Price Index,
Nov 1996,62.83,-0.46%,Food Price Index,
Dec 1996,63.21,0.61%,Food Price Index,
Jan 1997,65.38,3.43%,Food Price Index,
Feb 1997,66.25,1.33%,Food Price Index,
Mar 1997,67.52,1.92%,Food Price Index,
Apr 1997,66.46,-1.58%,Food Price Index,
May 1997,63.67,-4.19%,Food Price Index,
Jun 1997,61.31,-3.71%,Food Price Index,
Jul 1997,59.99,-2.16%,Food Price Index,
Aug 1997,60.04,0.10%,Food Price Index,
Sep 1997,60.3,0.43%,Food Price Index,
Oct 1997,60.62,0.53%,Food Price Index,
Nov 1997,61.57,1.57%,Food Price Index,
Dec 1997,60.57,-1.63%,Food Price Index,
Jan 1998,60.06,-0.84%,Food Price Index,
Feb 1998,59.95,-0.18%,Food Price Index,
Mar 1998,59.08,-1.46%,Food Price Index,
Apr 1998,60.2,1.91%,Food Price Index,
May 1998,59.46,-1.24%,Food Price Index,
Jun 1998,57.42,-3.43%,Food Price Index,
Jul 1998,56.84,-1.01%,Food Price Index,
Aug 1998,54.35,-4.39%,Food Price Index,
Sep 1998,54.16,-0.34%,Food Price Index,
Oct 1998,54.82,1.21%,Food Price Index,
Nov 1998,56.49,3.04%,Food Price Index,
Dec 1998,54.73,-3.11%,Food Price Index,
Jan 1999,55.02,0.53%,Food Price Index,
Feb 1999,51.59,-6.24%,Food Price Index,
Mar 1999,49.78,-3.50%,Food Price Index,
Apr 1999,49.03,-1.51%,Food Price Index,
May 1999,47.72,-2.68%,Food Price Index,
Jun 1999,46.62,-2.30%,Food Price Index,
Jul 1999,44.5,-4.55%,Food Price Index,
Aug 1999,46.47,4.42%,Food Price Index,
Sep 1999,47.59,2.42%,Food Price Index,
Oct 1999,47.14,-0.94%,Food Price Index,
Nov 1999,46.34,-1.70%,Food Price Index,
Dec 1999,45.86,-1.04%,Food Price Index,
Jan 2000,47.44,3.46%,Food Price Index,
Feb 2000,47.91,0.98%,Food Price Index,
Mar 2000,47.33,-1.21%,Food Price Index,
Apr 2000,47.98,1.37%,Food Price Index,
May 2000,47.47,-1.05%,Food Price Index,
Jun 2000,46.46,-2.13%,Food Price Index,
Jul 2000,44.95,-3.26%,Food Price Index,
Aug 2000,45.16,0.46%,Food Price Index,
Sep 2000,46.06,1.99%,Food Price Index,
Oct 2000,46.41,0.77%,Food Price Index,
Nov 2000,46.87,1.00%,Food Price Index,
Dec 2000,48.58,3.63%,Food Price Index,
Jan 2001,48.59,0.03%,Food Price Index,
Feb 2001,48.1,-1.02%,Food Price Index,
Mar 2001,47.75,-0.72%,Food Price Index,
Apr 2001,47.16,-1.23%,Food Price Index,
May 2001,47.82,1.39%,Food Price Index,
Jun 2001,48.32,1.04%,Food Price Index,
Jul 2001,52.12,7.87%,Food Price Index,
Aug 2001,51.83,-0.56%,Food Price Index,
Sep 2001,49.42,-4.65%,Food Price Index,
Oct 2001,46.79,-5.31%,Food Price Index,
Nov 2001,48.44,3.52%,Food Price Index,
Dec 2001,48.47,0.06%,Food Price Index,
Jan 2002,48.8,0.68%,Food Price Index,
Feb 2002,48.1,-1.44%,Food Price Index,
Mar 2002,48.87,1.60%,Food Price Index,
Apr 2002,48.53,-0.69%,Food Price Index,
May 2002,49.53,2.05%,Food Price Index,
Jun 2002,51.16,3.29%,Food Price Index,
Jul 2002,52.61,2.84%,Food Price Index,
Aug 2002,53.27,1.26%,Food Price Index,
Sep 2002,55.11,3.45%,Food Price Index,
Oct 2002,55.11,0.01%,Food Price Index,
Nov 2002,54.71,-0.74%,Food Price Index,
Dec 2002,55.79,1.99%,Food Price Index,
Jan 2003,55.69,-0.18%,Food Price Index,
Feb 2003,55.25,-0.80%,Food Price Index,
Mar 2003,54.87,-0.69%,Food Price Index,
Apr 2003,54.29,-1.05%,Food Price Index,
May 2003,54.21,-0.14%,Food Price Index,
Jun 2003,53.99,-0.42%,Food Price Index,
Jul 2003,52.78,-2.24%,Food Price Index,
Aug 2003,53.85,2.04%,Food Price Index,
Sep 2003,55.55,3.15%,Food Price Index,
Oct 2003,59.75,7.56%,Food Price Index,
Nov 2003,62.15,4.02%,Food Price Index,
Dec 2003,61.85,-0.48%,Food Price Index,
Jan 2004,63.92,3.34%,Food Price Index,
Feb 2004,66.17,3.53%,Food Price Index,
Mar 2004,69.8,5.48%,Food Price Index,
Apr 2004,69.11,-0.98%,Food Price Index,
May 2004,66.53,-3.74%,Food Price Index,
Jun 2004,64.2,-3.50%,Food Price Index,
Jul 2004,62.56,-2.56%,Food Price Index,
Aug 2004,61.13,-2.28%,Food Price Index,
Sep 2004,60.82,-0.50%,Food Price Index,
Oct 2004,59.69,-1.87%,Food Price Index,
Nov 2004,59.44,-0.42%,Food Price Index,
Dec 2004,59.77,0.55%,Food Price Index,
Jan 2005,60.03,0.45%,Food Price Index,
Feb 2005,62.14,3.50%,Food Price Index,
Mar 2005,65.28,5.06%,Food Price Index,
Apr 2005,63.29,-3.04%,Food Price Index,
May 2005,62.73,-0.89%,Food Price Index,
Jun 2005,62.36,-0.59%,Food Price Index,
Jul 2005,61.94,-0.67%,Food Price Index,
Aug 2005,61.02,-1.49%,Food Price Index,
Sep 2005,61.98,1.57%,Food Price Index,
Oct 2005,63.13,1.86%,Food Price Index,
Nov 2005,62.02,-1.75%,Food Price Index,
Dec 2005,63.66,2.64%,Food Price Index,
Jan 2006,64.75,1.71%,Food Price Index,
Feb 2006,67.44,4.15%,Food Price Index,
Mar 2006,66.2,-1.84%,Food Price Index,
Apr 2006,65.83,-0.55%,Food Price Index,
May 2006,68.17,3.56%,Food Price Index,
Jun 2006,65.78,-3.51%,Food Price Index,
Jul 2006,66.92,1.73%,Food Price Index,
Aug 2006,66.57,-0.52%,Food Price Index,
Sep 2006,66.42,-0.22%,Food Price Index,
Oct 2006,69.33,4.38%,Food Price Index,
Nov 2006,72.58,4.69%,Food Price Index,
Dec 2006,72.89,0.43%,Food Price Index,
Jan 2007,73.53,0.88%,Food Price Index,
Feb 2007,75.94,3.28%,Food Price Index,
Mar 2007,75.64,-0.39%,Food Price Index,
Apr 2007,75.45,-0.25%,Food Price Index,
May 2007,77.93,3.28%,Food Price Index,
Jun 2007,81.53,4.62%,Food Price Index,
Jul 2007,83.37,2.25%,Food Price Index,
Aug 2007,84.7,1.59%,Food Price Index,
Sep 2007,89.44,5.60%,Food Price Index,
Oct 2007,92.78,3.74%,Food Price Index,
Nov 2007,96.24,3.73%,Food Price Index,
Dec 2007,99.85,3.76%,Food Price Index,
Jan 2008,106.22,6.38%,Food Price Index,
Feb 2008,116.07,9.27%,Food Price Index,
Mar 2008,123.94,6.78%,Food Price Index,
Apr 2008,127.58,2.93%,Food Price Index,
May 2008,127.28,-0.23%,Food Price Index,
Jun 2008,131.17,3.06%,Food Price Index,
Jul 2008,128.05,-2.38%,Food Price Index,
Aug 2008,116.1,-9.33%,Food Price Index,
Sep 2008,108.7,-6.37%,Food Price Index,
Oct 2008,91.16,-16.14%,Food Price Index,
Nov 2008,85.32,-6.40%,Food Price Index,
Dec 2008,82.23,-3.63%,Food Price Index,
Jan 2009,88.64,7.80%,Food Price Index,
Feb 2009,87.7,-1.06%,Food Price Index,
Mar 2009,87.29,-0.47%,Food Price Index,
Apr 2009,90.58,3.77%,Food Price Index,
May 2009,96.59,6.63%,Food Price Index,
Jun 2009,96.93,0.35%,Food Price Index,
Jul 2009,92.17,-4.90%,Food Price Index,
Aug 2009,95.6,3.72%,Food Price Index,
Sep 2009,92.48,-3.26%,Food Price Index,
Oct 2009,93.55,1.15%,Food Price Index,
Nov 2009,96.77,3.44%,Food Price Index,
Dec 2009,97.55,0.81%,Food Price Index,
Jan 2010,98.46,0.93%,Food Price Index,
Feb 2010,95.37,-3.14%,Food Price Index,
Mar 2010,92.6,-2.91%,Food Price Index,
Apr 2010,91.71,-0.96%,Food Price Index,
May 2010,90.39,-1.44%,Food Price Index,
Jun 2010,89.11,-1.41%,Food Price Index,
Jul 2010,93.82,5.28%,Food Price Index,
Aug 2010,99.27,5.82%,Food Price Index,
Sep 2010,104.65,5.42%,Food Price Index,
Oct 2010,110.38,5.47%,Food Price Index,
Nov 2010,113.97,3.26%,Food Price Index,
Dec 2010,120.27,5.53%,Food Price Index,
Jan 2011,125.15,4.06%,Food Price Index,
Feb 2011,129.26,3.28%,Food Price Index,
Mar 2011,123.63,-4.35%,Food Price Index,
Apr 2011,125.11,1.20%,Food Price Index,
May 2011,123.29,-1.46%,Food Price Index,
Jun 2011,123.31,0.02%,Food Price Index,
Jul 2011,123.99,0.55%,Food Price Index,
Aug 2011,125.49,1.21%,Food Price Index,
Sep 2011,123.28,-1.76%,Food Price Index,
Oct 2011,117.0,-5.09%,Food Price Index,
Nov 2011,116.13,-0.75%,Food Price Index,
Dec 2011,114.01,-1.83%,Food Price Index,
Jan 2012,115.96,1.72%,Food Price Index,
Feb 2012,119.07,2.68%,Food Price Index,
Mar 2012,122.54,2.92%,Food Price Index,
Apr 2012,123.15,0.49%,Food Price Index,
May 2012,120.58,-2.08%,Food Price Index,
Jun 2012,119.92,-0.55%,Food Price Index,
Jul 2012,132.12,10.17%,Food Price Index,
Aug 2012,132.36,0.18%,Food Price Index,
Sep 2012,131.08,-0.97%,Food Price Index,
Oct 2012,126.46,-3.52%,Food Price Index,
Nov 2012,123.83,-2.08%,Food Price Index,
Dec 2012,122.75,-0.88%,Food Price Index,
Jan 2013,121.25,-1.22%,Food Price Index,
Feb 2013,120.76,-0.41%,Food Price Index,
Mar 2013,120.02,-0.61%,Food Price Index,
Apr 2013,116.43,-2.99%,Food Price Index,
May 2013,116.73,0.26%,Food Price Index,
Jun 2013,117.55,0.71%,Food Price Index,
Jul 2013,114.42,-2.66%,Food Price Index,
Aug 2013,110.29,-3.61%,Food Price Index,
Sep 2013,109.85,-0.40%,Food Price Index,
Oct 2013,110.08,0.21%,Food Price Index,
Nov 2013,109.16,-0.83%,Food Price Index,
Dec 2013,108.57,-0.55%,Food Price Index,
Jan 2014,106.52,-1.88%,Food Price Index,
Feb 2014,108.29,1.66%,Food Price Index,
Mar 2014,113.83,5.11%,Food Price Index,
Apr 2014,112.31,-1.33%,Food Price Index,
May 2014,112.05,-0.23%,Food Price Index,
Jun 2014,109.0,-2.72%,Food Price Index,
Jul 2014,105.68,-3.04%,Food Price Index,
Aug 2014,103.8,-1.78%,Food Price Index,
Sep 2014,100.27,-3.40%,Food Price Index,
Oct 2014,99.54,-0.72%,Food Price Index,
Nov 2014,101.22,1.68%,Food Price Index,
Dec 2014,99.69,-1.51%,Food Price Index,
Jan 2015,97.15,-2.55%,Food Price Index,
Feb 2015,94.29,-2.95%,Food Price Index,
Mar 2015,92.43,-1.97%,Food Price Index,
Apr 2015,91.47,-1.04%,Food Price Index,
May 2015,89.67,-1.96%,Food Price Index,
Jun 2015,88.9,-0.87%,Food Price Index,
Jul 2015,89.92,1.15%,Food Price Index,
Aug 2015,84.68,-5.83%,Food Price Index,
Sep 2015,82.89,-2.11%,Food Price Index,
Oct 2015,84.24,1.63%,Food Price Index,
Nov 2015,82.91,-1.58%,Food Price Index,
Dec 2015,83.03,0.15%,Food Price Index,
Jan 2016,83.11,0.10%,Food Price Index,
Feb 2016,83.82,0.85%,Food Price Index,
Mar 2016,85.85,2.43%,Food Price Index,
Apr 2016,88.46,3.05%,Food Price Index,
May 2016,92.47,4.53%,Food Price Index,
Jun 2016,96.83,4.72%,Food Price Index,
Jul 2016,93.32,-3.63%,Food Price Index,
Aug 2016,91.55,-1.89%,Food Price Index,
Sep 2016,90.54,-1.11%,Food Price Index,
Oct 2016,89.35,-1.30%,Food Price Index,
Nov 2016,89.92,0.63%,Food Price Index,
Dec 2016,90.29,0.41%,Food Price Index,
Jan 2017,92.13,2.04%,Food Price Index,
Feb 2017,91.74,-0.43%,Food Price Index,
Mar 2017,90.41,-1.45%,Food Price Index,
Apr 2017,89.42,-1.09%,Food Price Index,
May 2017,91.82,2.68%,Food Price Index,
Jun 2017,91.52,-0.32%,Food Price Index,
Jul 2017,91.68,0.17%,Food Price Index,
Aug 2017,88.5,-3.46%,Food Price Index,
Sep 2017,89.23,0.82%,Food Price Index,
Oct 2017,88.6,-0.70%,Food Price Index,
Nov 2017,89.19,0.66%,Food Price Index,
Dec 2017,88.2,-1.11%,Food Price Index,
Jan 2018,90.64,2.76%,Food Price Index,
Feb 2018,92.92,2.52%,Food Price Index,
Mar 2018,94.0,1.16%,Food Price Index,
Apr 2018,96.09,2.23%,Food Price Index,
May 2018,96.79,0.72%,Food Price Index,
Jun 2018,93.38,-3.52%,Food Price Index,
Jul 2018,89.97,-3.64%,Food Price Index,
Aug 2018,88.7,-1.42%,Food Price Index,
Sep 2018,85.64,-3.45%,Food Price Index,
Oct 2018,86.4,0.89%,Food Price Index,
Nov 2018,84.84,-1.81%,Food Price Index,
Dec 2018,86.08,1.46%,Food Price Index,
Jan 2019,86.97,1.04%,Food Price Index,
Feb 2019,87.45,0.54%,Food Price Index,
Mar 2019,86.2,-1.43%,Food Price Index,
Apr 2019,85.97,-0.27%,Food Price Index,
May 2019,84.98,-1.15%,Food Price Index,
Jun 2019,88.06,3.63%,Food Price Index,
Jul 2019,86.86,-1.37%,Food Price Index,
Aug 2019,84.69,-2.50%,Food Price Index,
Sep 2019,84.21,-0.57%,Food Price Index,
Oct 2019,86.3,2.48%,Food Price Index,
Nov 2019,89.87,4.14%,Food Price Index,
Dec 2019,92.09,2.47%,Food Price Index,
Jan 2020,94.48,2.60%,Food Price Index,
Feb 2020,90.51,-4.20%,Food Price Index,
Mar 2020,88.03,-2.74%,Food Price Index,
Apr 2020,85.62,-2.73%,Food Price Index,
May 2020,85.43,-0.23%,Food Price Index,
Jun 2020,88.32,3.38%,Food Price Index,
Jul 2020,88.46,0.16%,Food Price Index,
Aug 2020,90.67,2.50%,Food Price Index,
Sep 2020,93.81,3.47%,Food Price Index,
Oct 2020,96.92,3.32%,Food Price Index,
Nov 2020,102.32,5.56%,Food Price Index,
Dec 2020,105.77,3.38%,Food Price Index,
Jan 2021,115.02,8.75%,Food Price Index,
Feb 2021,116.63,1.40%,Food Price Index,
Mar 2021,115.31,-1.14%,Food Price Index,
Apr 2021,119.84,3.93%,Food Price Index,
May 2021,127.64,6.51%,Food Price Index,
Jun 2021,123.38,-3.34%,Food Price Index,
Jul 2021,122.28,-0.89%,Food Price Index,
Aug 2021,122.92,0.52%,Food Price Index,
Sep 2021,121.81,-0.90%,Food Price Index,
Oct 2021,124.06,1.84%,Food Price Index,
Nov 2021,125.94,1.52%,Food Price Index,
Dec 2021,127.31,1.09%,Food Price Index,
Jan 2022,133.82,5.12%,Food Price Index,
Feb 2022,141.36,5.63%,Food Price Index,
Mar 2022,157.35,11.31%,Food Price Index,
Apr 2022,158.87,0.97%,Food Price Index,
May 2022,159.04,0.10%,Food Price Index,
Jun 2022,151.5,-4.74%,Food Price Index,
Jul 2022,138.63,-8.49%,Food Price Index,
Aug 2022,136.41,-1.60%,Food Price Index,
Sep 2022,136.57,0.11%,Food Price Index,
Oct 2022,137.69,0.82%,Food Price Index,
Nov 2022,137.51,-0.13%,Food Price Index,
Dec 2022,135.39,-1.54%,Food Price Index,
Jan 2023,136.0,0.45%,Food Price Index,
Feb 2023,137.47,1.08%,Food Price Index,
Mar 2023,134.76,-1.97%,Food Price Index,
Apr 2023,137.29,1.87%,Food Price Index,
May 1993,54.08,-,Industrial Inputs Price Index,
Jun 1993,53.84,-0.44%,Industrial Inputs Price Index,
Jul 1993,54.2,0.67%,Industrial Inputs Price Index,
Aug 1993,52.74,-2.69%,Industrial Inputs Price Index,
Sep 1993,51.34,-2.65%,Industrial Inputs Price Index,
Oct 1993,50.49,-1.66%,Industrial Inputs Price Index,
Nov 1993,49.86,-1.25%,Industrial Inputs Price Index,
Dec 1993,51.25,2.79%,Industrial Inputs Price Index,
Jan 1994,52.89,3.20%,Industrial Inputs Price Index,
Feb 1994,55.13,4.24%,Industrial Inputs Price Index,
Mar 1994,55.26,0.24%,Industrial Inputs Price Index,
Apr 1994,56.46,2.17%,Industrial Inputs Price Index,
May 1994,58.71,3.99%,Industrial Inputs Price Index,
Jun 1994,61.37,4.53%,Industrial Inputs Price Index,
Jul 1994,61.87,0.81%,Industrial Inputs Price Index,
Aug 1994,61.19,-1.10%,Industrial Inputs Price Index,
Sep 1994,62.48,2.11%,Industrial Inputs Price Index,
Oct 1994,63.6,1.79%,Industrial Inputs Price Index,
Nov 1994,67.08,5.47%,Industrial Inputs Price Index,
Dec 1994,69.87,4.16%,Industrial Inputs Price Index,
Jan 1995,73.36,4.99%,Industrial Inputs Price Index,
Feb 1995,71.17,-2.99%,Industrial Inputs Price Index,
Mar 1995,71.14,-0.04%,Industrial Inputs Price Index,
Apr 1995,71.67,0.75%,Industrial Inputs Price Index,
May 1995,70.42,-1.74%,Industrial Inputs Price Index,
Jun 1995,70.73,0.44%,Industrial Inputs Price Index,
Jul 1995,70.72,-0.01%,Industrial Inputs Price Index,
Aug 1995,69.75,-1.37%,Industrial Inputs Price Index,
Sep 1995,67.97,-2.55%,Industrial Inputs Price Index,
Oct 1995,66.23,-2.56%,Industrial Inputs Price Index,
Nov 1995,68.75,3.80%,Industrial Inputs Price Index,
Dec 1995,67.75,-1.45%,Industrial Inputs Price Index,
Jan 1996,65.52,-3.29%,Industrial Inputs Price Index,
Feb 1996,65.85,0.50%,Industrial Inputs Price Index,
Mar 1996,66.35,0.76%,Industrial Inputs Price Index,
Apr 1996,65.54,-1.22%,Industrial Inputs Price Index,
May 1996,66.66,1.71%,Industrial Inputs Price Index,
Jun 1996,63.53,-4.70%,Industrial Inputs Price Index,
Jul 1996,61.23,-3.62%,Industrial Inputs Price Index,
Aug 1996,61.31,0.13%,Industrial Inputs Price Index,
Sep 1996,61.26,-0.08%,Industrial Inputs Price Index,
Oct 1996,60.06,-1.96%,Industrial Inputs Price Index,
Nov 1996,62.13,3.45%,Industrial Inputs Price Index,
Dec 1996,61.18,-1.53%,Industrial Inputs Price Index,
Jan 1997,63.52,3.82%,Industrial Inputs Price Index,
Feb 1997,64.17,1.02%,Industrial Inputs Price Index,
Mar 1997,64.78,0.95%,Industrial Inputs Price Index,
Apr 1997,62.45,-3.60%,Industrial Inputs Price Index,
May 1997,64.12,2.67%,Industrial Inputs Price Index,
Jun 1997,63.25,-1.36%,Industrial Inputs Price Index,
Jul 1997,62.53,-1.14%,Industrial Inputs Price Index,
Aug 1997,61.56,-1.55%,Industrial Inputs Price Index,
Sep 1997,59.45,-3.43%,Industrial Inputs Price Index,
Oct 1997,57.6,-3.11%,Industrial Inputs Price Index,
Nov 1997,56.73,-1.51%,Industrial Inputs Price Index,
Dec 1997,53.68,-5.38%,Industrial Inputs Price Index,
Jan 1998,51.91,-3.30%,Industrial Inputs Price Index,
Feb 1998,52.31,0.77%,Industrial Inputs Price Index,
Mar 1998,52.25,-0.11%,Industrial Inputs Price Index,
Apr 1998,52.34,0.17%,Industrial Inputs Price Index,
May 1998,51.05,-2.46%,Industrial Inputs Price Index,
Jun 1998,49.43,-3.17%,Industrial Inputs Price Index,
Jul 1998,48.75,-1.38%,Industrial Inputs Price Index,
Aug 1998,48.29,-0.94%,Industrial Inputs Price Index,
Sep 1998,48.85,1.16%,Industrial Inputs Price Index,
Oct 1998,47.36,-3.05%,Industrial Inputs Price Index,
Nov 1998,47.18,-0.38%,Industrial Inputs Price Index,
Dec 1998,46.11,-2.27%,Industrial Inputs Price Index,
Jan 1999,45.9,-0.46%,Industrial Inputs Price Index,
Feb 1999,46.23,0.72%,Industrial Inputs Price Index,
Mar 1999,46.77,1.17%,Industrial Inputs Price Index,
Apr 1999,47.48,1.52%,Industrial Inputs Price Index,
May 1999,48.93,3.05%,Industrial Inputs Price Index,
Jun 1999,48.15,-1.59%,Industrial Inputs Price Index,
Jul 1999,49.92,3.68%,Industrial Inputs Price Index,
Aug 1999,50.77,1.70%,Industrial Inputs Price Index,
Sep 1999,52.89,4.18%,Industrial Inputs Price Index,
Oct 1999,53.06,0.32%,Industrial Inputs Price Index,
Nov 1999,53.53,0.89%,Industrial Inputs Price Index,
Dec 1999,54.23,1.31%,Industrial Inputs Price Index,
Jan 2000,55.49,2.32%,Industrial Inputs Price Index,
Feb 2000,57.25,3.17%,Industrial Inputs Price Index,
Mar 2000,57.24,-0.02%,Industrial Inputs Price Index,
Apr 2000,55.62,-2.83%,Industrial Inputs Price Index,
May 2000,56.71,1.96%,Industrial Inputs Price Index,
Jun 2000,54.83,-3.32%,Industrial Inputs Price Index,
Jul 2000,54.8,-0.05%,Industrial Inputs Price Index,
Aug 2000,54.08,-1.31%,Industrial Inputs Price Index,
Sep 2000,56.11,3.75%,Industrial Inputs Price Index,
Oct 2000,53.72,-4.26%,Industrial Inputs Price Index,
Nov 2000,53.2,-0.97%,Industrial Inputs Price Index,
Dec 2000,52.64,-1.05%,Industrial Inputs Price Index,
Jan 2001,53.38,1.41%,Industrial Inputs Price Index,
Feb 2001,52.73,-1.22%,Industrial Inputs Price Index,
Mar 2001,50.66,-3.93%,Industrial Inputs Price Index,
Apr 2001,50.78,0.24%,Industrial Inputs Price Index,
May 2001,51.45,1.32%,Industrial Inputs Price Index,
Jun 2001,50.33,-2.18%,Industrial Inputs Price Index,
Jul 2001,48.23,-4.17%,Industrial Inputs Price Index,
